opd_date	rte	dir	day_of_week	is_ns	is_rapid	is_weekend	orca_total	frac_disabled	frac_youth	frac_senior	frac_li	frac_uw	ons	region	start	end	type	summer
2019-01-07	1	N	0	1.0	0.0	0.0	990.0	0.023088894851484777	0.0045382375418346645	0.019685917932320808	0.014662079859921587	0.004395531194092345	1669.0	Seattle	Kinnear	Downtown Seattle	Trolley	False
2019-01-07	1	S	0	1.0	0.0	0.0	688.0	0.006022282445046673	0.007589151288338279	0.014210077285958045	0.009748569707919302	0.006737428485395966	1032.0	Seattle	Kinnear	Downtown Seattle	Trolley	False
2019-01-07	2	N	0	1.0	0.0	0.0	2045.0	0.01596830789990713	0.016007768930900456	0.02029567520897001	0.021107629361102647	0.008534943433787363	2852.0	Seattle	West Queen Anne	Madrona	Trolley	False
2019-01-07	2	S	0	1.0	0.0	0.0	2293.0	0.020110989068914713	0.01327811946696487	0.0219995037588856	0.022560573441199678	0.008826335294045664	3435.0	Seattle	West Queen Anne	Madrona	Trolley	False
2019-01-07	3	N	0	1.0	0.0	0.0	2777.0	0.02827126260035173	0.018413125942508907	0.019600698934685242	0.02391207796447758	0.026360086570664444	4342.0	Seattle	Seattle Pacific University	Madrona	Trolley	False
2019-01-07	3	S	0	1.0	0.0	0.0	3076.0	0.03457188572234265	0.024236953031013083	0.02024810662212752	0.02284107560210127	0.03337738572271437	4826.0	Seattle	Seattle Pacific University	Madrona	Trolley	False
2019-01-07	4	N	0	1.0	0.0	0.0	932.0	0.01353149628149628	0.013214618714618714	0.012755244755244753	0.01136111111111111	0.015316849816849816	1354.0	Seattle	Seattle Pacific University	Judkins Park	Trolley	False
2019-01-07	5	N	0	1.0	0.0	0.0	2125.0	0.015624466511764147	0.012380912421057927	0.014588240833980493	0.019604728069080504	0.010879565394296336	2993.0	Seattle	Shoreline	Downtown Seattle	Conventional	False
2019-01-07	5	S	0	1.0	0.0	0.0	1931.0	0.01977002791842143	0.012003309459128487	0.016693415044928734	0.02155774090579149	0.012958257342789978	2665.0	Seattle	Shoreline	Downtown Seattle	Conventional	False
2019-01-07	7	N	0	1.0	0.0	0.0	2433.0	0.03382197387785135	0.032821949143895975	0.02405269433932513	0.037185134815515615	0.0075658802428256065	5442.0	Seattle	Downtown Seattle	Rainier Beach	Trolley	False
2019-01-07	7	S	0	1.0	0.0	0.0	2582.0	0.02646617874620445	0.025742803471364532	0.021286202082605423	0.03280424438902284	0.0077799819771560315	5555.0	Seattle	Downtown Seattle	Rainier Beach	Trolley	False
2019-01-07	8	E	0	0.0	0.0	0.0	2972.0	0.028462691171544853	0.024790547219170955	0.0162832312676749	0.02070639383819026	0.010879618772984039	4251.0	Seattle	Seattle Center	Mount Baker	Conventional	False
2019-01-07	9	N	0	1.0	0.0	0.0	71.0	0.002364066193853428	0.0475177304964539	0.00851063829787234	0.020330969267139478	0.03605200945626478	156.0	Seattle	Capitol Hill	Rainier Beach station	Conventional	False
2019-01-07	9	S	0	1.0	0.0	0.0	71.0	0.001221001221001221	0.02971102971102971	0.031135531135531136	0.028490028490028487	0.012108262108262107	125.0	Seattle	Capitol Hill	Rainier Beach station	Conventional	False
2019-01-07	10	N	0	1.0	0.0	0.0	1306.0	0.021950346624825798	0.004445736715701994	0.020247619856994862	0.015704442483956374	0.01182788967077161	1930.0	Seattle	Downtown Seattle	Capitol Hill	Trolley	False
2019-01-07	10	S	0	1.0	0.0	0.0	974.0	0.03979757140134499	0.009094312396199188	0.023855808761469137	0.024316678176026372	0.016897410765335293	1393.0	Seattle	Downtown Seattle	Capitol Hill	Trolley	False
2019-01-07	11	N	0	1.0	0.0	0.0	1385.0	0.028562389557181087	0.01307111263196583	0.02152628955990828	0.013469445531174103	0.013779575714958397	1959.0	Seattle	Downtown Seattle	Madison Park	Conventional	False
2019-01-07	11	S	0	1.0	0.0	0.0	1196.0	0.041254308962642296	0.0160760214579659	0.037359457671957676	0.022130670683911422	0.010472115333226444	1568.0	Seattle	Downtown Seattle	Madison Park	Conventional	False
2019-01-07	12	N	0	1.0	0.0	0.0	1449.0	0.016611070826209353	0.007365488480583807	0.015569475281466327	0.01126168123682514	0.00884385802302533	1900.0	Seattle	Downtown Seattle	Interlaken Park	Trolley	False
