route_id,stop_ids
186,"{58880, 58370, 58888, 58872, 59020, 58380, 99474, 59032, 59033, 58912, 57760, 57765, 58790, 58537, 58539, 57774, 57778, 81205, 58550, 58810, 58811, 58812, 58560, 57792, 58820, 58570, 81100, 58962, 58964, 58845, 58980, 58730, 58860, 58990, 58862, 58350, 58740, 58870, 58360}"
180,"{57860, 57861, 57872, 57874, 80918, 58392, 58393, 58394, 50712, 47646, 58400, 80932, 58410, 57899, 57900, 57910, 57912, 57915, 57920, 80966, 80968, 57930, 52300, 80977, 80978, 52306, 80980, 57940, 80982, 50774, 50779, 57950, 57446, 57454, 58481, 57459, 57461, 57462, 57463, 57464, 57465, 57475, 58500, 57477, 57990, 57479, 57478, 57476, 49290, 61070, 58511, 58512, 58000, 49301, 61080, 58010, 61090, 58020, 58040, 58043, 58050, 58051, 80580, 58060, 58061, 80590, 53975, 80600, 80610, 58084, 80121, 80123, 53501, 53502, 53503, 57600, 53505, 57609, 57610, 57611, 57612, 57618, 80147, 57620, 57621, 57622, 57623, 80152, 80153, 80154, 80151, 80150, 57631, 57632, 58148, 58150, 57640, 81201, 57650, 58170, 58220, 58230, 58235, 59773, 58240, 79243, 57740, 58255, 79248, 58257, 58260, 52636, 52637, 58270, 58271, 58272, 52638, 52639, 58283, 58284, 57773, 57774, 80820, 57791, 57792, 58310, 50125, 58320, 60880, 50130, 53720, 60890, 50140, 50145, 60900, 53740, 57840}"
182,"{61441, 61442, 61443, 61444, 61446, 61447, 61448, 58514, 61462, 58391, 61463, 61464, 61466, 61467, 61465, 60573, 60567, 60575, 60576, 60569, 60578, 61342, 60580, 61340, 80433, 80451, 80455, 60620, 60566, 60632, 42585, 60634, 60636, 60637, 42351, 61335, 61336, 60534, 61338}"
187,"{61570, 83716, 83720, 61450, 61580, 83704, 61330, 61460, 61332, 61470, 83707, 61480, 83709, 61870, 83760, 80433, 61490, 83770, 61500, 61378, 80451, 61380, 83781, 61510, 83783, 83784, 83785, 83786, 83782, 83788, 83789, 61390, 80455, 61520, 61400, 61530, 60638, 60640, 61410, 61540, 61420, 61550, 61422, 61424, 61426, 83701, 61430, 83703, 61560, 83702, 83706, 61435, 83708, 61437, 83711}"
178,"{640, 260, 390, 1040, 660, 83751, 60587, 30635, 60589, 99252, 99253, 99254, 61368, 700, 99263, 99264, 99266, 80451, 80455, 99271, 80458, 80462, 340, 47970, 361, 620}"
179,"{61313, 42370, 83716, 42500, 390, 260, 83720, 61320, 42380, 42390, 42520, 42400, 675, 83760, 80432, 42420, 42550, 83770, 42560, 83781, 83782, 83783, 83784, 83785, 83786, 80458, 83788, 83789, 80462, 42577, 340, 1120, 361, 60650, 83701, 42358, 83703, 83704, 83702, 83706, 83707, 83708, 83709, 83711}"
197,"{53504, 61313, 42370, 83716, 42500, 83720, 61320, 42380, 42390, 42520, 58782, 10911, 42400, 10912, 10917, 29865, 83760, 80432, 42420, 42550, 29240, 83770, 29247, 42560, 83781, 83782, 83783, 83784, 83785, 83786, 80458, 83788, 83789, 80462, 42576, 47970, 60650, 83701, 42358, 83703, 83704, 83702, 83706, 83707, 83708, 83709, 83711}"
181,"{42370, 83716, 42500, 83720, 59272, 42380, 61330, 59282, 61332, 42390, 42520, 83706, 42400, 59171, 59173, 59174, 59175, 59176, 59177, 59178, 59260, 57773, 81199, 81200, 57775, 83760, 80433, 42420, 81205, 42550, 80455, 83770, 42560, 57792, 59200, 57795, 80451, 83781, 83782, 83783, 83784, 83785, 59210, 83786, 57804, 81100, 57806, 83789, 42576, 83664, 57810, 81106, 83663, 83788, 59220, 60638, 80862, 60640, 58340, 58342, 58344, 59240, 59120, 83701, 42358, 83703, 83704, 83702, 80890, 83707, 83708, 83709, 83711}"
143,"{52353, 99330, 260, 390, 46477, 99470, 46479, 675, 99497, 99390, 99410, 99411, 340, 99418, 99420, 99421, 99294, 99423, 99296, 99297, 1120, 99422, 99300, 99301, 99430, 99303, 99431, 99432, 46440, 361, 99437, 99310, 99325}"
177,"{640, 260, 390, 1040, 660, 83751, 30635, 99252, 99253, 99254, 700, 99263, 99264, 99266, 80451, 80455, 99271, 80458, 80462, 340, 47970, 361, 620}"
193,"{53504, 12930, 12805, 41990, 42000, 12950, 59292, 58782, 59295, 83751, 12840, 80432, 12980, 12860, 80451, 11075, 80455, 80458, 11085, 80462, 11087, 3150, 47970, 41955, 12910, 41981}"
164,"{57090, 59272, 57100, 59282, 57496, 58144, 59047, 57516, 57518, 57519, 59059, 59061, 59064, 59065, 57530, 59066, 59067, 59069, 59073, 59077, 57159, 57162, 57164, 57422, 57434, 57451, 57070, 57459}"
183,"{85890, 85892, 79247, 85914, 85916, 58781, 85918, 85921, 85924, 53540, 80431, 85942, 85944, 85947, 85948, 85949, 85950, 85954, 50755, 80454, 50759, 50760, 83657, 80458, 50761, 80462, 80464, 50770, 50781, 50783, 50787, 57188, 57187, 47974, 57453, 79215, 57459}"
671,"{60800, 61313, 61060, 61190, 60680, 60810, 61070, 61201, 61080, 60830, 61090, 61220, 60710, 60840, 61100, 61230, 80431, 50480, 60850, 48949, 61110, 61240, 61243, 60860, 61120, 52800, 60750, 60752, 60880, 61140, 61270, 60760, 60890, 60670, 61150, 60900, 60780, 60910, 61170, 60660, 60790, 60921, 61180, 61310}"
952,"{57891, 82787, 82716, 82854, 82700, 57453, 57459, 82878, 84280, 82841, 82780, 82718, 82687}"
118,"{46850, 515, 19077, 47240, 47120, 531, 15380, 46871, 47255, 1690, 19740, 46880, 15395, 548, 420, 19750, 46888, 46890, 20010, 30635, 18990, 431, 46769, 46770, 46773, 19000, 570, 19900, 47165, 19010, 46791, 20170, 19070, 590, 46800, 15230, 468, 15190, 600, 605, 20190, 15201, 15204, 19050, 619, 490, 18674, 18675, 19700, 19060, 46840, 20220, 47230}"
190,"{640, 260, 390, 1040, 660, 53540, 30635, 99252, 99253, 99254, 61240, 700, 99263, 99264, 99266, 99271, 340, 47968, 47970, 47974, 361, 620}"
192,"{260, 53510, 390, 53516, 53518, 53520, 53522, 53524, 58782, 675, 21945, 53060, 53062, 53064, 53065, 53066, 53067, 53068, 53069, 340, 1120, 47970, 361}"
168,"{62081, 57090, 62085, 62089, 57100, 62094, 62096, 62097, 62100, 62102, 62104, 62106, 99483, 62108, 62112, 58144, 62114, 62133, 60485, 62151, 57159, 60489, 60490, 60491, 57162, 62157, 57164, 57422, 62288, 62290, 62294, 62297, 57434, 62299, 62301, 99294, 62303, 62309, 62313, 62186, 57451, 62316, 62317, 62318, 62319, 62320, 62190, 62194, 57457, 62196, 57070, 62326, 62328, 62331, 62332, 62079}"
158,"{57090, 260, 53510, 390, 79243, 57100, 79248, 50712, 58779, 50717, 58781, 57119, 58144, 57121, 57117, 57118, 58782, 675, 57127, 80820, 80580, 60485, 50758, 50760, 60489, 50761, 60491, 80590, 50772, 57429, 62166, 340, 80600, 57434, 50779, 62172, 62173, 57436, 62175, 57437, 57438, 1120, 57445, 57447, 57448, 361, 62189, 57453, 57070, 57459, 59773}"
159,"{62208, 62204, 62213, 62212, 53510, 62216, 390, 260, 79243, 62220, 79248, 62098, 62099, 62100, 62102, 62230, 62104, 50712, 62106, 58779, 62108, 58781, 50717, 58782, 62112, 62114, 675, 62120, 62122, 80820, 80580, 60485, 50758, 62151, 50760, 60489, 60490, 60491, 50761, 62157, 80590, 62288, 62290, 50772, 340, 62294, 62295, 80600, 62297, 62298, 62299, 62300, 50779, 1120, 62306, 62308, 62312, 361, 62314, 62316, 57453, 62318, 62320, 57459, 62326, 62328, 62332, 59773}"
166,"{48640, 47620, 47630, 48660, 50712, 50717, 48670, 47646, 48680, 48690, 50758, 48710, 50760, 50761, 52300, 48720, 52305, 50770, 50772, 48730, 50779, 50781, 50783, 50787, 48740, 48741, 57451, 57452, 48750, 57457, 48760, 48780, 47263, 48800, 47270, 48810, 47275, 47280, 48820, 80580, 48840, 80590, 53975, 80600, 47320, 48860, 47330, 48870, 47340, 48880, 61180, 47360, 53506, 53508, 47370, 53516, 53518, 53520, 53522, 53524, 48920, 47390, 48930, 47400, 50480, 47410, 48950, 47416, 47420, 48960, 53060, 50500, 47430, 53062, 53064, 53065, 53066, 53067, 53068, 53069, 47440, 47451, 47460, 47470, 47480, 59773, 47490, 79243, 79248, 47510, 58779, 58781, 58782, 47520, 48550, 47530, 80820, 47540, 48570, 47550, 48580, 50125, 48590, 47570, 48600, 53720, 47580, 48610, 47590, 48620, 53740, 47600, 48630, 47610}"
