route_id,n_apc,n_orca,orca_rate
10,118709,79529,0.6699492035144766
128,31707,15440,0.4869587157410036
26,104745,81218,0.775387846675259
70,276855,210364,0.7598345704430117
674,455492,130401,0.2862860379545634
118,18642,12273,0.6583521081429031
120,54738,28078,0.5129526106178524
248,39452,22582,0.5723917672107878
49,204954,153553,0.7492071391629341
234,46820,32493,0.6939982913284921
311,28753,27229,0.9469968351128578
111,26438,23894,0.903774869506014
131,124247,70675,0.5688266115077225
676,219808,61932,0.28175498616974815
11,110030,79571,0.723175497591566
14,109358,63820,0.5835878490828289
21,107590,74524,0.6926666047030393
24,70326,51823,0.7368967380485169
107,106002,65046,0.6136299315107262
132,104434,57145,0.5471876974931535
241,20006,14230,0.7112866140157953
271,180139,147815,0.8205607891683644
348,50364,28687,0.5695933603367485
67,53313,44015,0.8255960084782323
159,5992,4715,0.7868825100133512
245,119944,88627,0.7389031548055759
671,353718,49399,0.13965644948801023
43,16037,13309,0.8298933715782254
105,16015,6686,0.4174836091164533
179,15406,13287,0.8624561859015968
226,56601,41182,0.7275843182982633
3,292722,189488,0.6473309146562267
12,117322,86224,0.7349346243671264
65,53148,41994,0.7901332129148793
76,50295,45657,0.9077840739636147
122,6819,5473,0.8026103534242558
123,5440,4833,0.8884191176470588
164,20095,7009,0.34879323214730035
675,535917,117806,0.21982135293338334
2,210583,146632,0.6963145173162126
33,64015,50514,0.789096305553386
40,266796,196011,0.7346849278100122
45,251502,196137,0.7798625855858005
148,21046,8326,0.39560961702936426
217,6208,5619,0.9051224226804123
303,32672,30750,0.9411728697355534
5,190429,133965,0.7034905397812308
8,318483,247936,0.77849053167673
29,29375,26381,0.8980765957446809
44,299353,238680,0.7973195525015617
71,8053,6151,0.7638147274307712
255,58877,44181,0.750394891044041
347,13202,8128,0.6156642932888956
9,8752,6061,0.6925274223034735
13,86734,63021,0.7266008716305025
28,107082,86167,0.804682392932519
47,18664,13332,0.7143163309044149
75,48036,37981,0.7906778249646099
169,44788,16119,0.35989550772528356
345,43093,26503,0.61501868052816
7,370687,180814,0.4877807961973309
19,6294,5606,0.8906895455989832
101,44913,27233,0.6063500545499076
124,129781,69453,0.535155377135328
156,14499,7386,0.5094144423753363
181,30524,12599,0.4127571746822173
221,53268,39881,0.748685890215514
331,31559,20345,0.6446655470705662
4,94173,66074,0.701623607615771
62,283323,223933,0.7903805903509422
125,9858,6945,0.7045039561777237
235,40738,27696,0.679856644901566
252,13450,12729,0.9463940520446097
308,1637,1485,0.9071472205253512
36,333730,189659,0.5683007221406526
41,120836,85526,0.7077857592108312
186,2290,1094,0.4777292576419214
238,12613,9025,0.7155315943867439
1,88226,62314,0.7062997302382518
48,199346,150107,0.7529973011748418
56,3958,3464,0.875189489641233
212,71032,66190,0.931833539813042
153,9868,4150,0.42055127685447913
249,15949,11418,0.7159069534140071
27,36645,24576,0.6706508391322145
372,102027,86295,0.845805522067688
673,353855,87999,0.24868660892173347
204,3478,2754,0.7918343875790684
346,10610,7064,0.6657869934024505
74,12656,10521,0.8313053097345132
269,21961,16587,0.7552934747962297
50,98020,66045,0.6737910630483575
240,86641,50677,0.5849078380905114
150,62295,35451,0.569082590898146
168,17025,6380,0.37474302496328926
218,34540,32616,0.9442964678633469
177,13247,11793,0.8902392994640296
342,4982,4408,0.8847852268165396
60,41004,24055,0.5866500829187397
180,65169,26164,0.40147923092267795
102,12407,9268,0.746997662609817
116,10391,8986,0.8647868347608507
232,6219,4861,0.7816369191188294
183,14018,5970,0.4258810101298331
119,8930,5765,0.6455767077267637
236,7906,4352,0.5504679989881103
355,9040,7967,0.8813053097345133
31,15922,13342,0.8379600552694385
257,13093,12464,0.9519590620942489
268,11204,10703,0.9552838272045698
64,22986,21027,0.9147742103889324
201,88,77,0.875
143,16097,14411,0.8952599863328571
77,10836,9491,0.8758767072720561
158,10580,8321,0.7864839319470699
154,2087,1895,0.9080019166267369
219,21915,20643,0.9419575633127995
246,3608,2798,0.7754988913525499
312,25441,21506,0.8453284069022444
190,7682,6843,0.8907836500911221
214,5549,4990,0.8992611281311949
187,6054,3100,0.5120581433762802
57,2853,2573,0.9018576936558009
277,4515,4007,0.8874861572535991
193,11333,10506,0.927027265507809
309,3087,2797,0.906057661159702
121,12969,10512,0.8105482303955587
672,123351,51134,0.4145406198571556
73,10589,7985,0.7540844272358107
32,27144,22241,0.8193707633362806
373,20542,16947,0.8249926978872554
301,16586,14697,0.8861087664295189
18,7880,6885,0.873730964467005
216,26747,24846,0.9289266085916178
244,2711,2395,0.883437845813353
304,3690,3377,0.9151761517615176
15,10720,9489,0.8851679104477612
63,10275,9327,0.9077372262773723
197,15643,14045,0.8978456817745957
157,4201,3558,0.846941204475125
22,2406,1555,0.6463009143807149
178,13217,11963,0.9051221911175001
167,3769,3479,0.9230565136641019
55,7194,6143,0.8539060328051153
224,2793,1862,0.6666666666666666
316,9280,8190,0.8825431034482759
182,6241,2600,0.41659990386156065
166,24032,9813,0.40833055925432754
17,8247,7296,0.8846853401236814
192,2300,2099,0.912608695652174
106,50978,25620,0.5025697359645337
208,2317,887,0.38282261545101426
330,2754,1772,0.6434277414669571
78,1233,937,0.7599351175993512
237,1995,1852,0.9283208020050125
243,332,271,0.8162650602409639
37,2979,2548,0.855320577374958
114,3547,3120,0.8796165773893431
113,1846,1672,0.905742145178765
