route_id,n_apc,n_orca,orca_rate
36,336370,189659,0.5638404138300086
70,280740,210364,0.7493196551969794
131,124978,70675,0.5654995279169134
132,105650,57145,0.540889730241363
675,541888,117806,0.21739916735561593
3,294110,189488,0.6442759511747306
7,375714,180814,0.48125435836833336
21,109196,74524,0.682479211692736
13,87835,63021,0.7174930266977856
49,208417,153553,0.7367585177792598
75,48561,37981,0.7821296925516361
101,45958,27233,0.5925627747073415
153,9900,4150,0.41919191919191917
221,53799,39881,0.7412963066227997
226,57853,41182,0.7118386254818246
232,6311,4861,0.7702424338456663
277,4566,4007,0.8775733683749453
12,117981,86224,0.7308295403497174
14,111331,63820,0.5732455470623636
17,8247,7296,0.8846853401236814
33,64386,50514,0.7845494362128413
37,2979,2548,0.855320577374958
44,301042,238680,0.7928461809315643
60,41004,24055,0.5866500829187397
71,8053,6151,0.7638147274307712
74,12700,10521,0.8284251968503937
105,16130,6686,0.4145071295722257
106,51013,25620,0.5022249230588282
120,56186,28078,0.4997330295803225
148,21483,8326,0.3875622585300005
168,17292,6380,0.36895674300254455
179,15406,13287,0.8624561859015968
238,12640,9025,0.714003164556962
241,20513,14230,0.6937064300687369
255,60666,44181,0.7282662446840075
271,183345,147815,0.8062123319425127
27,37128,24576,0.6619263089851325
50,98163,66045,0.6728095107117753
62,288209,223933,0.7769812878848336
301,16719,14697,0.8790597523775345
331,31613,20345,0.6435643564356436
345,43330,26503,0.6116547426725133
355,9040,7967,0.8813053097345133
674,459036,130401,0.2840757587640185
1,89604,62314,0.6954377036739431
15,10720,9489,0.8851679104477612
31,16045,13342,0.8315363041445933
107,106531,65046,0.6105828350433207
177,13247,11793,0.8902392994640296
244,2764,2395,0.8664978292329957
245,122843,88627,0.7214656105761013
248,39843,22582,0.5667745902667972
672,124077,51134,0.41211505758520917
676,221287,61932,0.2798718406413391
40,271382,196011,0.7222697157512289
45,254757,196137,0.7698983737443917
76,50614,45657,0.9020626704073972
169,44892,16119,0.3590617481956696
236,7969,4352,0.5461162002760698
26,105117,81218,0.7726438159384305
118,18763,12273,0.6541064861695891
164,20128,7009,0.3482213831478537
166,24091,9813,0.4073305383753269
234,47647,32493,0.6819526937687578
347,13206,8128,0.6154778131152506
671,362667,49399,0.13621035274783755
4,95881,66074,0.6891250612738707
8,320647,247936,0.7732366122246582
11,112144,79571,0.7095430874589813
125,9858,6945,0.7045039561777237
181,30584,12599,0.4119474234894062
204,3482,2754,0.7909247558874211
5,193711,133965,0.6915714647077347
124,130171,69453,0.5335520200351845
10,119621,79529,0.664841457603598
24,70762,51823,0.7323563494530962
28,107569,86167,0.8010393328933056
32,27343,22241,0.8134074534615806
150,62884,35451,0.5637523058329623
41,121843,85526,0.7019360980934481
121,12983,10512,0.8096741893245013
180,65328,26164,0.4005020818025961
240,89704,50677,0.5649357888165523
372,103309,86295,0.8353096051650872
673,358496,87999,0.2454671739712577
2,212864,146632,0.6888529765484065
9,8783,6061,0.6900831151087328
48,199748,150107,0.7514818671526123
56,3958,3464,0.875189489641233
67,53659,44015,0.8202724612832889
102,12588,9268,0.7362567524626629
178,13315,11963,0.8984603830266616
303,32714,30750,0.9399645411750321
346,10610,7064,0.6657869934024505
235,41732,27696,0.6636633758267038
269,22320,16587,0.7431451612903226
214,5615,4990,0.8886910062333037
216,26781,24846,0.9277472835218998
268,11358,10703,0.9423313963726008
64,23059,21027,0.9118782254217442
111,26587,23894,0.8987098958137436
212,71317,66190,0.9281097073629009
183,14048,5970,0.4249715261958998
224,2793,1862,0.6666666666666666
348,50376,28687,0.5694576782594887
65,53544,41994,0.7842895562528014
43,16190,13309,0.8220506485484868
157,4201,3558,0.846941204475125
187,6110,3100,0.5073649754500819
47,18856,13332,0.7070428510818838
116,10391,8986,0.8647868347608507
373,20544,16947,0.8249123831775701
19,6294,5606,0.8906895455989832
63,10275,9327,0.9077372262773723
77,10836,9491,0.8758767072720561
122,6856,5473,0.7982788798133023
257,13216,12464,0.9430992736077481
311,29185,27229,0.9329792701730341
156,14646,7386,0.5043015157722245
128,31707,15440,0.4869587157410036
192,2300,2099,0.912608695652174
218,34897,32616,0.9346362151474339
22,2407,1555,0.646032405484005
193,11416,10506,0.9202873160476525
217,6208,5619,0.9051224226804123
197,15705,14045,0.8943011779687997
186,2315,1094,0.47257019438444925
249,15966,11418,0.7151446824502067
73,10589,7985,0.7540844272358107
143,16229,14411,0.8879783104319429
308,1637,1485,0.9071472205253512
55,7194,6143,0.8539060328051153
252,13528,12729,0.9409373151981076
312,25906,21506,0.83015517640701
246,3608,2798,0.7754988913525499
182,6263,2600,0.41513651604662305
159,6029,4715,0.7820534085254602
158,10580,8321,0.7864839319470699
342,5076,4408,0.8684003152088259
119,8930,5765,0.6455767077267637
190,7706,6843,0.8880093433688035
243,344,271,0.7877906976744186
208,2317,887,0.38282261545101426
316,9308,8190,0.8798882681564246
330,2754,1772,0.6434277414669571
29,29774,26381,0.8860415127292268
18,7880,6885,0.873730964467005
237,1995,1852,0.9283208020050125
113,1846,1672,0.905742145178765
78,1240,937,0.7556451612903226
219,22046,20643,0.9363603374761862
309,3087,2797,0.906057661159702
123,5440,4833,0.8884191176470588
154,2087,1895,0.9080019166267369
57,2853,2573,0.9018576936558009
304,3690,3377,0.9151761517615176
114,3568,3120,0.874439461883408
201,88,77,0.875
167,3769,3479,0.9230565136641019
