0,1,2,3,4
B01003_001E,NAME,state,county,tract
4064,"Census Tract 207, King County, Washington",53,033,020700
4279,"Census Tract 208, King County, Washington",53,033,020800
3420,"Census Tract 209, King County, Washington",53,033,020900
6024,"Census Tract 210, King County, Washington",53,033,021000
5729,"Census Tract 220.01, King County, Washington",53,033,022001
6962,"Census Tract 205, King County, Washington",53,033,020500
3961,"Census Tract 214, King County, Washington",53,033,021400
5245,"Census Tract 220.03, King County, Washington",53,033,022003
2669,"Census Tract 223, King County, Washington",53,033,022300
5907,"Census Tract 316.04, King County, Washington",53,033,031604
8335,"Census Tract 317.06, King County, Washington",53,033,031706
4455,"Census Tract 320.11, King County, Washington",53,033,032011
4306,"Census Tract 322.13, King County, Washington",53,033,032213
6876,"Census Tract 322.14, King County, Washington",53,033,032214
5377,"Census Tract 26, King County, Washington",53,033,002600
3388,"Census Tract 45, King County, Washington",53,033,004500
10303,"Census Tract 47, King County, Washington",53,033,004700
3687,"Census Tract 51, King County, Washington",53,033,005100
9365,"Census Tract 67, King County, Washington",53,033,006700
8671,"Census Tract 101, King County, Washington",53,033,010100
1094,"Census Tract 109, King County, Washington",53,033,010900
5160,"Census Tract 111.02, King County, Washington",53,033,011102
5447,"Census Tract 325, King County, Washington",53,033,032500
7145,"Census Tract 4.01, King County, Washington",53,033,000401
4698,"Census Tract 13, King County, Washington",53,033,001300
2733,"Census Tract 15, King County, Washington",53,033,001500
4453,"Census Tract 21, King County, Washington",53,033,002100
7594,"Census Tract 36, King County, Washington",53,033,003600
2471,"Census Tract 38, King County, Washington",53,033,003800
5412,"Census Tract 61, King County, Washington",53,033,006100
14491,"Census Tract 326.02, King County, Washington",53,033,032602
2486,"Census Tract 327.03, King County, Washington",53,033,032703
8203,"Census Tract 6, King County, Washington",53,033,000600
1588,"Census Tract 263, King County, Washington",53,033,026300
3375,"Census Tract 278, King County, Washington",53,033,027800
4643,"Census Tract 280, King County, Washington",53,033,028000
4489,"Census Tract 114.01, King County, Washington",53,033,011401
4236,"Census Tract 114.02, King County, Washington",53,033,011402
4334,"Census Tract 234.03, King County, Washington",53,033,023403
